"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Baritussio A.; Muthurangu V.","Baritussio, Anna (57211083589); Muthurangu, Vivek (7801671480)","57211083589; 7801671480","Cardiovascular magnetic resonance for the assessment of left ventricular filling pressure in heart failure","2022","European Heart Journal","43","26","","2523","2525","2","6","10.1093/eurheartj/ehac247","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134360711&doi=10.1093%2feurheartj%2fehac247&partnerID=40&md5=1fd3193bfe92ed4c91bc5d3419908174","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85134360711"
"Knight D.S.; Zumbo G.; Barcella W.; Steeden J.A.; Muthurangu V.; Martinez-Naharro A.; Treibel T.A.; Abdel-Gadir A.; Bulluck H.; Kotecha T.; Francis R.; Rezk T.; Quarta C.C.; Whelan C.J.; Lachmann H.J.; Wechalekar A.D.; Gillmore J.D.; Moon J.C.; Hawkins P.N.; Fontana M.","Knight, Daniel S. (55589453200); Zumbo, Giulia (57193211591); Barcella, William (56768040900); Steeden, Jennifer A. (36605240600); Muthurangu, Vivek (7801671480); Martinez-Naharro, Ana (55343433500); Treibel, Thomas A. (15754511800); Abdel-Gadir, Amna (56528300800); Bulluck, Heerajnarain (53981151600); Kotecha, Tushar (38661453500); Francis, Rohin (57194779300); Rezk, Tamer (55985701600); Quarta, Candida C. (56619484400); Whelan, Carol J. (36647033100); Lachmann, Helen J. (7004915734); Wechalekar, Ashutosh D. (6506002568); Gillmore, Julian D. (7003539031); Moon, James C. (7403231345); Hawkins, Philip N. (35464959200); Fontana, Marianna (16306839900)","55589453200; 57193211591; 56768040900; 36605240600; 7801671480; 55343433500; 15754511800; 56528300800; 53981151600; 38661453500; 57194779300; 55985701600; 56619484400; 36647033100; 7004915734; 6506002568; 7003539031; 7403231345; 35464959200; 16306839900","Cardiac Structural and Functional Consequences of Amyloid Deposition by Cardiac Magnetic Resonance and Echocardiography and Their Prognostic Roles","2019","JACC: Cardiovascular Imaging","12","5","","823","833","10","138","10.1016/j.jcmg.2018.02.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045306445&doi=10.1016%2fj.jcmg.2018.02.016&partnerID=40&md5=3621ca666fddf92bb53f446160b49793","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85045306445"
"Knight D.S.; Virsinskaite R.; Karia N.; Cole A.R.; Maclean R.H.; Brown J.T.; Patel R.K.; Razvi Y.; Venneri L.; Kotecha T.; Martinez-Naharro A.; Kellman P.; Scott-Russell A.M.; Schreiber B.E.; Ong V.H.; Denton C.P.; Fontana M.; Coghlan J.G.; Muthurangu V.","Knight, Daniel S. (55589453200); Virsinskaite, Ruta (58539561200); Karia, Nina (37122124800); Cole, Alice R. (57235401900); Maclean, Rory H. (57448509700); Brown, James T. (57212760167); Patel, Rishi K. (57210156635); Razvi, Yousuf (57219044558); Venneri, Lucia (6506276972); Kotecha, Tushar (38661453500); Martinez-Naharro, Ana (55343433500); Kellman, Peter (7004851504); Scott-Russell, Ann M. (24400040100); Schreiber, Benjamin E. (36106322600); Ong, Voon H. (8398311200); Denton, Christopher P. (7006031021); Fontana, Marianna (16306839900); Coghlan, J. Gerry (35393553500); Muthurangu, Vivek (7801671480)","55589453200; 58539561200; 37122124800; 57235401900; 57448509700; 57212760167; 57210156635; 57219044558; 6506276972; 38661453500; 55343433500; 7004851504; 24400040100; 36106322600; 8398311200; 7006031021; 16306839900; 35393553500; 7801671480","Native myocardial T1 and right ventricular size by CMR predict outcome in systemic sclerosis-associated pulmonary hypertension","2024","Rheumatology (United Kingdom)","63","10","","2678","2683","5","3","10.1093/rheumatology/keae141","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205526125&doi=10.1093%2frheumatology%2fkeae141&partnerID=40&md5=3046fc225a6e90a7cf5dd41928b311d2","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85205526125"
"Constantine A.; Dimopoulos K.; Haworth S.G.; Muthurangu V.; Moledina S.","Constantine, Andrew (36817914800); Dimopoulos, Konstantinos (26642912600); Haworth, Sheila G. (35513064700); Muthurangu, Vivek (7801671480); Moledina, Shahin (23985897400)","36817914800; 26642912600; 35513064700; 7801671480; 23985897400","Twenty-Year Experience and Outcomes in a National Pediatric Pulmonary Hypertension Service","2022","American Journal of Respiratory and Critical Care Medicine","206","6","","758","766","8","24","10.1164/rccm.202110-2428OC","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137757566&doi=10.1164%2frccm.202110-2428OC&partnerID=40&md5=3d27c3bcdab4b2078ec1c6e4b0f4a7af","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85137757566"
"Jaubert O.; Montalt-Tordera J.; Knight D.; Arridge S.; Steeden J.; Muthurangu V.","Jaubert, Olivier (48461323600); Montalt-Tordera, Javier (57204789341); Knight, Daniel (55589453200); Arridge, Simon (7005759823); Steeden, Jennifer (36605240600); Muthurangu, Vivek (7801671480)","48461323600; 57204789341; 55589453200; 7005759823; 36605240600; 7801671480","HyperSLICE: HyperBand optimized spiral for low-latency interactive cardiac examination","2024","Magnetic Resonance in Medicine","91","1","","266","279","13","5","10.1002/mrm.29855","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173551883&doi=10.1002%2fmrm.29855&partnerID=40&md5=c551b1f0939567127312a767946c45c6","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85173551883"
"Annio G.; Torii R.; Ducci A.; Muthurangu V.; Tsang V.; Burriesci G.","Annio, Giacomo (56605067300); Torii, Ryo (7005835193); Ducci, Andrea (8259228300); Muthurangu, Vivek (7801671480); Tsang, Victor (56466227600); Burriesci, Gaetano (6506017118)","56605067300; 7005835193; 8259228300; 7801671480; 56466227600; 6506017118","Experimental Validation of Enhanced Magnetic Resonance Imaging (EMRI) Using Particle Image Velocimetry (PIV)","2021","Annals of Biomedical Engineering","49","12","","3481","3493","12","4","10.1007/s10439-021-02811-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121405279&doi=10.1007%2fs10439-021-02811-1&partnerID=40&md5=25e8b701bbc90da5e8fd786900a162b9","Article","Final","","Scopus","2-s2.0-85121405279"
"Steeden J.A.; Kowalik G.T.; Tann O.; Hughes M.; Mortensen K.H.; Muthurangu V.","Steeden, Jennifer A. (36605240600); Kowalik, Grzegorz T. (6602362169); Tann, Oliver (24339325500); Hughes, Marina (7402467863); Mortensen, Kristian H. (24344469300); Muthurangu, Vivek (7801671480)","36605240600; 6602362169; 24339325500; 7402467863; 24344469300; 7801671480","Real-time assessment of right and left ventricular volumes and function in children using high spatiotemporal resolution spiral bSSFP with compressed sensing 08 Information and Computing Sciences 0801 Artificial Intelligence and Image Processing","2018","Journal of Cardiovascular Magnetic Resonance","20","1","79","","","","47","10.1186/s12968-018-0500-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058727707&doi=10.1186%2fs12968-018-0500-9&partnerID=40&md5=4369c75eb984713b47f6ecbb37d22ef0","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85058727707"
"Alsaied T.; Li R.; Christopher A.B.; Fogel M.A.; Slesnick T.C.; Krishnamurthy R.; Muthurangu V.; Dorfman A.L.; Lam C.Z.; Weigand J.D.; Robinson J.D.; Cordina R.; Olivieri L.J.; Rathod R.H.; Loke Y.-H.; Stern K.; Soslow J.H.; Graham T.P., Jr.; Aggarwal M.; Johnson T.; Renno M.; Shah A.; Quail M.; Kutty S.; Taussig H.; Garg R.; Steele J.; Renella P.; Chegondi M.; House A.V.; Marsden A.; Raimondi F.; Files M.D.","Alsaied, Tarek (36503627100); Li, Runjia (59098712500); Christopher, Adam B. (55220564100); Fogel, Mark A. (7102455134); Slesnick, Timothy C. (10439636300); Krishnamurthy, Rajesh (57190971591); Muthurangu, Vivek (7801671480); Dorfman, Adam L. (7102085362); Lam, Christopher Z. (57194587927); Weigand, Justin D. (56385336400); Robinson, Joshua D. (26659239500); Cordina, Rachael (35193654300); Olivieri, Laura J. (35201723100); Rathod, Rahul H. (36143305800); Loke, Yue-Hin (56536208600); Stern, Kenan (54401795200); Soslow, Jonathan H. (12761411800); Graham, Thomas P. (59568717600); Aggarwal, Manish (55192622500); Johnson, Tiffanie (34975456500); Renno, Markus (57031749200); Shah, Amee (7403209786); Quail, Michael (35380885000); Kutty, Shelby (25650021600); Taussig, Helen (59318593600); Garg, Ruchira (12786942900); Steele, Jeremy (57193305000); Renella, Pierangelo (23768469900); Chegondi, Madhuradhar (56109369600); House, Aswathy Vaikom (56478397400); Marsden, Alison (7006851741); Raimondi, Francesca (56835316000); Files, Matthew D. (36956133000)","36503627100; 59098712500; 55220564100; 7102455134; 10439636300; 57190971591; 7801671480; 7102085362; 57194587927; 56385336400; 26659239500; 35193654300; 35201723100; 36143305800; 56536208600; 54401795200; 12761411800; 59568717600; 55192622500; 34975456500; 57031749200; 7403209786; 35380885000; 25650021600; 59318593600; 12786942900; 57193305000; 23768469900; 56109369600; 56478397400; 7006851741; 56835316000; 36956133000","High-Performing Fontan Patients: A Fontan Outcome Registry by Cardiac Magnetic Resonance Imaging Study","2024","JACC: Advances","3","10","101254","","","","6","10.1016/j.jacadv.2024.101254","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203406465&doi=10.1016%2fj.jacadv.2024.101254&partnerID=40&md5=7565765006e3a40ae65e98fc8853f961","Article","Final","","Scopus","2-s2.0-85203406465"
"Chiesa S.T.; Charakida M.; Georgiopoulos G.; Roberts J.D.; Stafford S.J.; Park C.; Mykkänen J.; Kähönen M.; Lehtimäki T.; Ala-Korpela M.; Raitakari O.; Pietiäinen M.; Pussinen P.; Muthurangu V.; Hughes A.D.; Sattar N.; Timpson N.J.; Deanfield J.E.","Chiesa, Scott T. (56190407900); Charakida, Marietta (8528765700); Georgiopoulos, Georgios (57188877741); Roberts, Justin D. (55483054300); Stafford, Simon J. (57218399660); Park, Chloe (55618819600); Mykkänen, Juha (56588756000); Kähönen, Mika (57222955288); Lehtimäki, Terho (58584595800); Ala-Korpela, Mika (7003418142); Raitakari, Olli (7004828916); Pietiäinen, Milla (8625155500); Pussinen, Pirkko (6701454509); Muthurangu, Vivek (7801671480); Hughes, Alun D. (57207789660); Sattar, Naveed (7007043802); Timpson, Nicholas J. (35355373400); Deanfield, John E. (7004333788)","56190407900; 8528765700; 57188877741; 55483054300; 57218399660; 55618819600; 56588756000; 57222955288; 58584595800; 7003418142; 7004828916; 8625155500; 6701454509; 7801671480; 57207789660; 7007043802; 35355373400; 7004333788","Glycoprotein Acetyls: A Novel Inflammatory Biomarker of Early Cardiovascular Risk in the Young","2022","Journal of the American Heart Association","11","4","e024380","","","","57","10.1161/JAHA.121.024380","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124595799&doi=10.1161%2fJAHA.121.024380&partnerID=40&md5=c3de2749ca83c4b5d7686e576b62f162","Article","Final","","Scopus","2-s2.0-85124595799"
"Li Y.; Schiff M.; Olivieri L.J.; Christopher A.B.; Morell V.; Seese L.; Rathod R.H.; Kreutzer J.; Alsaied T.; Dorfman A.L.; Files M.D.; Fogel M.; Hegde S.; Johnson T.; Krishnamurthy R.; Kutty S.; Lam C.Z.; Loke Y.; Marsden A.L.; Muthurangu V.; Olivieri L.J.; Quail M.; Raimondi F.; Ramachandran P.; Rathod R.H.; Renella P.; Renno M.S.; Robinson J.D.; Ruchira G.; Shah A.; Slesnick T.C.; Soslow J.H.; Steele J.; Stern K.W.; Thattaliyath B.; House A.V.; Weigand J.","Li, Yu (59984135400); Schiff, Mary (57212590613); Olivieri, Laura J. (35201723100); Christopher, Adam B. (55220564100); Morell, Victor (7004956827); Seese, Laura (57200117215); Rathod, Rahul H. (36143305800); Kreutzer, Jacqueline (7006891657); Alsaied, Tarek (36503627100); Dorfman, A.L. (7102085362); Files, M.D. (36956133000); Fogel, M. (7102455134); Hegde, S. (9245867900); Johnson, T. (34975456500); Krishnamurthy, R. (57190971591); Kutty, S. (25650021600); Lam, C.Z. (57194587927); Loke, Y. (56536208600); Marsden, A.L. (7006851741); Muthurangu, V. (7801671480); Olivieri, L.J. (59983698000); Quail, M. (35380885000); Raimondi, F. (56835316000); Ramachandran, P. (55531496100); Rathod, R.H. (59983478300); Renella, P. (23768469900); Renno, M.S. (57031749200); Robinson, J.D. (26659239500); Ruchira, G. (59983698100); Shah, A. (7403209786); Slesnick, T.C. (10439636300); Soslow, J.H. (12761411800); Steele, J. (57193305000); Stern, K.W. (54401795200); Thattaliyath, B. (7801354100); House, A Vaikom (56478397400); Weigand, J. (56385336400)","59984135400; 57212590613; 35201723100; 55220564100; 7004956827; 57200117215; 36143305800; 7006891657; 36503627100; 7102085362; 36956133000; 7102455134; 9245867900; 34975456500; 57190971591; 25650021600; 57194587927; 56536208600; 7006851741; 7801671480; 59983698000; 35380885000; 56835316000; 55531496100; 59983478300; 23768469900; 57031749200; 26659239500; 59983698100; 7403209786; 10439636300; 12761411800; 57193305000; 54401795200; 7801354100; 56478397400; 56385336400","The long-term effect of the Fontan fenestration on clinical outcomes: A FORCE registry study","2025","American Heart Journal","290","","","105","114","9","0","10.1016/j.ahj.2025.06.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010277583&doi=10.1016%2fj.ahj.2025.06.008&partnerID=40&md5=4cf1d21f6798fcc0dc4694f34bbc6868","Article","Final","","Scopus","2-s2.0-105010277583"
"Wang Y.; Yong E.; Gaozhang W.; Muthurangu V.; Wurdemann H.A.","Wang, Yaxi (58761681700); Yong, Enhui (57189378595); Gaozhang, Wenlong (57681264900); Muthurangu, Vivek (7801671480); Wurdemann, Helge A. (35119695800)","58761681700; 57189378595; 57681264900; 7801671480; 35119695800","MR-Conditional Robotic Cardiac Intervention: Design and Validation in Patient-Specific Phantoms","2025","IEEE Transactions on Medical Robotics and Bionics","","","","","","","0","10.1109/TMRB.2025.3573387","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006903464&doi=10.1109%2fTMRB.2025.3573387&partnerID=40&md5=e92ba811e76670f06a9d89fb6efd5fe3","Article","Article in press","","Scopus","2-s2.0-105006903464"
"Stokes C.; Ahmed D.; Lind N.; Haupt F.; Becker D.; Hamilton J.; Muthurangu V.; Von Tengg-Kobligk H.; Papadakis G.; Balabani S.; Díaz-Zuccarini V.","Stokes, C. (57224832009); Ahmed, D. (58182889800); Lind, N. (58182889900); Haupt, F. (57193522930); Becker, D. (56988458000); Hamilton, J. (58181259400); Muthurangu, V. (7801671480); Von Tengg-Kobligk, H. (6602372931); Papadakis, G. (57203175345); Balabani, S. (6602671760); Díaz-Zuccarini, V. (23984658900)","57224832009; 58182889800; 58182889900; 57193522930; 56988458000; 58181259400; 7801671480; 6602372931; 57203175345; 6602671760; 23984658900","Aneurysmal growth in type-B aortic dissection: assessing the impact of patient-specific inlet conditions on key haemodynamic indices","2023","Journal of the Royal Society Interface","20","206","20230281","","","","20","10.1098/rsif.2023.0281","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171899939&doi=10.1098%2frsif.2023.0281&partnerID=40&md5=b285751cd14ba8d90b66aea30f8c08a2","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85171899939"
"Torii R.; Muthurangu V.","Torii, Ryo (7005835193); Muthurangu, Vivek (7801671480)","7005835193; 7801671480","Modelling Pulmonary Arterial Hypertension: Clinical Concepts, Engineering Applications and an Integrated Medico-engineering Approach","2022","Modelling Congenital Heart Disease: Engineering a Patient-specific Therapy","","","","169","187","18","1","10.1007/978-3-030-88892-3_15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153637098&doi=10.1007%2f978-3-030-88892-3_15&partnerID=40&md5=a57cec0f62fc092887f560fa3c86d080","Book chapter","Final","","Scopus","2-s2.0-85153637098"
"Brown J.T.; Kotecha T.; Steeden J.A.; Fontana M.; Denton C.P.; Coghlan J.G.; Knight D.S.; Muthurangu V.","Brown, James T. (57212760167); Kotecha, Tushar (38661453500); Steeden, Jennifer A. (36605240600); Fontana, Marianna (16306839900); Denton, Christopher P. (7006031021); Coghlan, J. Gerry (35393553500); Knight, Daniel S. (55589453200); Muthurangu, Vivek (7801671480)","57212760167; 38661453500; 36605240600; 16306839900; 7006031021; 35393553500; 55589453200; 7801671480","Reduced exercise capacity in patients with systemic sclerosis is associated with lower peak tissue oxygen extraction: a cardiovascular magnetic resonance-augmented cardiopulmonary exercise study","2021","Journal of Cardiovascular Magnetic Resonance","23","1","118","","","","13","10.1186/s12968-021-00817-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117961458&doi=10.1186%2fs12968-021-00817-1&partnerID=40&md5=52ae76cb6c27a01924a46ddaa5ab786f","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85117961458"
